Valor exportado em 2020 (USD bilhäes);Participa‡Æo do Brasil no mercado de exporta‡Æo (%);Distƒncia m‚dia entre o pa¡s parceiro e o fornecedor (km);Concentra‡Æo de todos os pa¡ses fornecedores do pa¡s parceiro;imposto m‚dio (estimado) encarado pelo Brasil (%);PIB do pa¡s parceiro (USD bilhäes)
0.001474;0;5965;0.52;2.5;19.81
0.016315;0.2;2552;0.77;2.5;19.81
0.00056;0;3557;0.31;5;19.81
0.000104;0;4851;0.25;5;19.81
0.015569;0.3;10193;0.31;5;19.81
0.002942;0.1;3577;0.38;2.3;14.8
0.002437;0;2670;0.42;3.8;14.8
0.000099;0;638;1;10;14.8
0.007999;0.1;5749;0.43;10;14.8
0.003071;0.1;7690;0.31;10;14.8
0.020206;0.4;5461;0.24;10;14.8
0.161476;2.8;8481;0.45;5;145.00
0.119028;0.4;7513;0.39;3.8;145.00
0.021017;0.4;9325;0.51;30;145.00
0.668946;7.7;7790;1;17;145.00
0.000196;0;4742;0.13;21;145.00
0.034762;4.5;4472;0.5;30;145.00
0.008092;0.1;7249;0.75;30;145.00
0.000057;0;7929;0.8;30;145.00
0.001758;0.1;3360;0.13;23.8;145.00
0.00114;0;6810;0.31;19.3;62.31
0.000209;0;5010;0.37;0;62.31
0.000001;0;5958;0.87;50;62.31
0.075679;0.9;6331;0.95;0;62.31
0.000001;0;9663;0.44;1.1;62.31
0.00014;0;5979;0.64;10;62.31
0.007778;0.1;6516;0.26;10;62.31
0.016007;0.8;6338;0.36;10;62.31
0.041979;0.8;9315;0.34;10;62.31
0.000293;0;5855;0.17;60;62.31
0.000378;0;7015;0.29;0;62.31
0.000158;0;4254;0.76;5;0.1952
0.000442;0;4087;0.46;0.1;0.1952
0.000002;0;3698;0.74;12.7;1.42
0.000002;0;3888;0.31;30.3;1.42
0.000131;0;2623;0.27;24.8;1.42
0.000003;0;4248;0.68;30;1.42
0.000122;0;4493;0.63;30;1.42
0.000022;0;3967;0.67;30;1.42
0.004913;0.1;3976;0.5;3.1;1.42
0.000001;0;2541;0.26;16;1.42
0.000589;0;;;;
0.000166;0;;;0;
0.023414;0.4;;;0;
0.002075;0;6854;0.59;0;383.00
0.124562;0.4;946;0.86;0;383.00
0;;9178;0.64;0;383.00
0.04517;0.9;4516;0.5;0;383.00
0.000759;0;6651;0.23;0;383.00
0.020812;0.6;8817;0.24;0;383.00
0.00025;0;1123;0.85;0;383.00
0.024848;0.4;2010;0.8;0;383.00
0.0498;2.3;2357;0.94;0;383.00
0.00449;0.1;1967;0.61;0;383.00
0.002251;0.1;4734;0.25;0;383.00
0.000284;0;3314;0.69;0;383.00
0.000048;0;1799;0.99;0.2;12.65
0.000051;0;7400;0.5;0.9;12.65
0.008583;0.1;5483;0.36;13.3;12.65
0.000173;0;4059;0.55;17.5;12.65
0.001114;0.1;8924;0.46;21;12.65
0.000176;0;5679;0.22;41.3;12.65
0.000066;0;3021;0.28;2.8;3.2
0.001535;0.2;4014;0.36;0;3.2
0.004106;0.1;4072;0.32;0;3.2
0.002567;0.1;5501;0.26;0;3.2
0.005553;0.1;4227;0.48;0.2;3.2
0.000003;0;3987;0.56;6;3.2
0.000466;0;10992;0.34;0;1331.00
0.05648;1.1;13499;0.1;0;1331.00
0.001129;0;9502;0.11;0;1331.00
0;;2694;0.52;0;1331.00
0.027128;1.7;9992;0.12;4.9;1331.00
0.011416;0.2;12075;0.91;0;1331.00
0.000394;0;1314;0.26;2.1;429.00
0.034653;2.2;2369;0.09;28;429.00
0.000068;0;2581;0.41;0;42.61
0;;2582;0.21;9.9;42.61
0.001096;0;2274;0.74;15;42.61
0.000572;0;10500;0.49;15;42.61
0.000739;0;2034;0.41;63.5;42.61
0.000008;0;2137;0.96;0;11.25
0.000003;0;2060;0.32;0;11.25
0.000021;0;2078;0.98;0;11.25
0.00126;0;2474;0.81;0;11.25
0.000401;0;3504;0.54;25;11.25
0.01372;0.2;3376;0.52;28.4;11.25
0.000056;0;3482;0.73;0.2;11.25
0.00612;0.1;5905;1;45;11.25
0.000176;0;4785;0.14;0;38.47
0.000078;0;1669;0.45;0;38.47
0.000947;0.1;5883;0.34;0;38.47
0.003161;0;5201;0.43;5;38.47
0.00001;0;4902;0.78;0;38.47
0.048533;0.9;6422;0.34;5;38.47
0.000031;0;794;0.76;5;38.47
0.136665;2.3;6203;0.48;0;324.00
0.236616;0.8;13538;0.43;0;324.00
0.627834;7.2;13424;0.77;0;324.00
0.323259;9.7;4151;0.23;15.9;324.00
0.000001;0;15292;1;0;324.00
0.000004;0;4554;0.11;0;324.00
0.000001;0;4278;0.82;17.7;4.37
0.000001;0;6912;0.26;16.5;4.37
0.000006;0;4947;0.45;184;4.37
0.000004;0;5538;0.5;103.8;4.37
0.000001;0;5492;0.2;33.9;4.37
0.000355;0;1203;0.34;1.4;60.26
0;;2151;0.22;5.7;60.26
0.000001;0;701;0.32;0;515.00
0.046951;0.2;5473;0.24;0;515.00
0.467398;9.4;5205;0.08;2.1;515.00
0.015866;0.2;1098;0.31;50.4;515.00
0.001093;0;3068;0.08;4.3;515.00
0.000004;0;746;0.2;38.7;515.00
0.00054;0;621;0.26;55.4;515.00
0.000024;0;412;0.35;18.2;515.00
0.000427;0;427;0.31;19.2;515.00
0.428014;26.7;4778;0.3;28;515.00
0.000116;0;829;0.78;0;515.00
0.000083;0;2551;0.72;13;1.76
0.000004;0;2561;1;40;1.76
0.000003;0;2561;1;40;1.76
0.000001;0;2561;1;40;1.76
0.000003;0;2561;1;40;1.76
0.000001;0;2791;0.37;57.3;1.76
0.095271;1.1;5579;0.61;17.7;15.65
0.003608;0.1;5078;0.12;35;15.65
0.000001;0;2448;0.76;5;74.84
0.000001;0;2136;0.97;5;74.84
0.001258;0;3392;0.57;5;74.84
0.000164;0;2488;0.8;5;74.84
0.000073;0;2206;0.92;5;74.84
0.000002;0;2362;0.92;5;74.84
0.00026;0;2207;0.77;0;36.69
0.000002;0;2953;0.64;0;36.69
0.000123;0;4928;0.26;0;36.69
0.006451;0.1;2509;0.94;0;36.69
0.002934;0.1;8842;0.29;0;36.69
0.000065;0;2267;1;0;36.69
0.000757;0;2267;1;0;36.69
0.005943;0.1;2220;0.87;0;36.69
0.000254;0;2697;0.49;0;36.69
0.000013;0;6832;1;0;36.69
0.000103;0;7184;0.56;10;19.79
0.000001;0;696;0.28;32.7;19.79
0.000002;0;856;0.27;35.2;19.79
0.000003;0;540;0.15;84.6;19.79
0.000001;0;838;0.15;27.8;19.79
0.00001;0;730;0.41;40.8;15.78
0.000019;0;522;1;8;15.78
0;;8659;0.4;0;1445.00
0;;3164;0.32;0;1445.00
0;;3286;0.51;;1445.00
0.003094;0.1;4480;0.99;0;10.27
0.009074;0;4612;0.95;0;10.27
0.00011;0;3562;0.71;0;10.27
0.000275;0;3551;0.76;0;10.27
0.006917;0.1;4486;1;;10.27
0.000073;0;4768;0.54;0;12.02
0.001193;0;4299;0.12;2.1;69.11
0;;1906;0.15;4.3;69.11
0.000001;0;1592;0.38;38.7;69.11
0.000001;0;1728;0.16;18.2;69.11
0.000399;0;990;0.14;19.2;69.11
0.000296;0;1032;0.15;28;69.11
0.00004;0;3306;0.61;9.7;1.7
0.000485;0;4055;0.3;20.8;1.7
0.004032;0;4275;0.8;5;1.7
0.000003;0;3074;0.97;19.7;1.7
0.000979;0;3952;0.54;20;1.7
0.000383;0;3535;0.38;20;1.7
0.001114;0;4881;0.28;30;1.7
0.000113;0;3142;0.69;30;1.7
